cliente_id,nombre,email,fecha_registro,segmento
C0001,Cliente_1,cliente1@email.com,2023-01-01,REGULAR
C0002,Cliente_2,cliente2@email.com,2023-01-02,PREMIUM
C0003,Cliente_3,cliente3@email.com,2023-01-03,PREMIUM
C0004,Cliente_4,cliente4@email.com,2023-01-04,REGULAR
C0005,Cliente_5,cliente5@email.com,2023-01-05,JUNIOR
C0001,Cliente_6,cliente6@email.com,2023-01-06,PREMIUM
C0007,Cliente_7,cliente7@email.com,2023-01-07,PREMIUM
C0008,Cliente_8,cliente8@email.com,2023-01-08,REGULAR
C0009,Cliente_9,cliente9@email.com,2023-01-09,REGULAR
C0010,Cliente_10,cliente10@email.com,2023-01-10,JUNIOR
C0011,Cliente_11,email_sin_arroba.com,2023-01-11,REGULAR
C0012,Cliente_12,cliente12@email.com,2023-01-12,REGULAR
C0013,Cliente_13,cliente13@email.com,2023-01-13,PREMIUM
C0014,Cliente_14,cliente14@email.com,2023-01-14,JUNIOR
C0015,Cliente_15,cliente15@email.com,2023-01-15,REGULAR
C0016,,cliente16@email.com,2023-01-16,PREMIUM
C0017,Cliente_17,cliente17@email.com,2023-01-17,REGULAR
C0018,Cliente_18,cliente18@email.com,2023-01-18,PREMIUM
C0019,Cliente_19,cliente19@email.com,2023-01-19,REGULAR
C0020,Cliente_20,cliente20@email.com,2023-01-20,REGULAR
C0021,Cliente_21,cliente21@email.com,2023-01-21,PREMIUM
C0022,Cliente_22,cliente22@email.com,2023-01-22,PREMIUM
C0023,Cliente_23,cliente23@email.com,2023-01-23,JUNIOR
C0024,Cliente_24,cliente24@email.com,2023-01-24,PREMIUM
C0025,Cliente_25,cliente25@email.com,2023-01-25,PREMIUM
C0026,Cliente_26,cliente26@email.com,2023-01-26,PREMIUM
C0027,Cliente_27,cliente27@email.com,2023-01-27,REGULAR
C0028,Cliente_28,cliente28@email.com,2023-01-28,REGULAR
C0029,Cliente_29,cliente29@email.com,2023-01-29,PREMIUM
C0030,Cliente_30,cliente30@email.com,2023-01-30,REGULAR
C0031,Cliente_31,cliente31@email.com,2023-01-31,REGULAR
C0032,Cliente_32,cliente32@email.com,2023-02-01,PREMIUM
C0033,Cliente_33,cliente33@email.com,2023-02-02,JUNIOR
C0034,Cliente_34,cliente34@email.com,2023-02-03,JUNIOR
C0035,Cliente_35,cliente35@email.com,2023-02-04,JUNIOR
C0036,Cliente_36,cliente36@email.com,2023-02-05,REGULAR
C0037,Cliente_37,cliente37@email.com,2023-02-06,PREMIUM
C0038,Cliente_38,cliente38@email.com,2023-02-07,PREMIUM
C0039,Cliente_39,cliente39@email.com,2023-02-08,JUNIOR
C0040,Cliente_40,cliente40@email.com,2023-02-09,PREMIUM
C0041,Cliente_41,cliente41@email.com,2023-02-10,REGULAR
C0042,Cliente_42,cliente42@email.com,2023-02-11,PREMIUM
C0043,Cliente_43,cliente43@email.com,2023-02-12,JUNIOR
C0044,Cliente_44,cliente44@email.com,2023-02-13,REGULAR
C0045,Cliente_45,cliente45@email.com,2023-02-14,PREMIUM
C0046,Cliente_46,cliente46@email.com,2023-02-15,JUNIOR
C0047,Cliente_47,cliente47@email.com,2023-02-16,PREMIUM
C0048,Cliente_48,cliente48@email.com,2023-02-17,PREMIUM
C0049,Cliente_49,cliente49@email.com,2023-02-18,REGULAR
C0050,Cliente_50,cliente50@email.com,2023-02-19,JUNIOR
C0051,Cliente_51,cliente51@email.com,2023-02-20,REGULAR
C0052,Cliente_52,cliente52@email.com,2023-02-21,REGULAR
C0053,Cliente_53,cliente53@email.com,2023-02-22,JUNIOR
C0054,Cliente_54,cliente54@email.com,2023-02-23,PREMIUM
C0055,Cliente_55,cliente55@email.com,2023-02-24,JUNIOR
C0056,Cliente_56,cliente56@email.com,2023-02-25,JUNIOR
C0057,Cliente_57,cliente57@email.com,2023-02-26,PREMIUM
C0058,Cliente_58,cliente58@email.com,2023-02-27,REGULAR
C0059,Cliente_59,cliente59@email.com,2023-02-28,REGULAR
C0060,Cliente_60,cliente60@email.com,2023-03-01,PREMIUM
C0061,Cliente_61,cliente61@email.com,2023-03-02,PREMIUM
C0062,Cliente_62,cliente62@email.com,2023-03-03,PREMIUM
C0063,Cliente_63,cliente63@email.com,2023-03-04,PREMIUM
C0064,Cliente_64,cliente64@email.com,2023-03-05,PREMIUM
C0065,Cliente_65,cliente65@email.com,2023-03-06,PREMIUM
C0066,Cliente_66,cliente66@email.com,2023-03-07,JUNIOR
C0067,Cliente_67,cliente67@email.com,2023-03-08,REGULAR
C0068,Cliente_68,cliente68@email.com,2023-03-09,JUNIOR
C0069,Cliente_69,cliente69@email.com,2023-03-10,REGULAR
C0070,Cliente_70,cliente70@email.com,2023-03-11,PREMIUM
C0071,Cliente_71,cliente71@email.com,2023-03-12,JUNIOR
C0072,Cliente_72,cliente72@email.com,2023-03-13,PREMIUM
C0073,Cliente_73,cliente73@email.com,2023-03-14,JUNIOR
C0074,Cliente_74,cliente74@email.com,2023-03-15,PREMIUM
C0075,Cliente_75,cliente75@email.com,2023-03-16,PREMIUM
C0076,Cliente_76,cliente76@email.com,2023-03-17,REGULAR
C0077,Cliente_77,cliente77@email.com,2023-03-18,JUNIOR
C0078,Cliente_78,cliente78@email.com,2023-03-19,JUNIOR
C0079,Cliente_79,cliente79@email.com,2023-03-20,PREMIUM
C0080,Cliente_80,cliente80@email.com,2023-03-21,REGULAR
C0081,Cliente_81,cliente81@email.com,2023-03-22,JUNIOR
C0082,Cliente_82,cliente82@email.com,2023-03-23,PREMIUM
C0083,Cliente_83,cliente83@email.com,2023-03-24,PREMIUM
C0084,Cliente_84,cliente84@email.com,2023-03-25,JUNIOR
C0085,Cliente_85,cliente85@email.com,2023-03-26,PREMIUM
C0086,Cliente_86,cliente86@email.com,2023-03-27,JUNIOR
C0087,Cliente_87,cliente87@email.com,2023-03-28,JUNIOR
C0088,Cliente_88,cliente88@email.com,2023-03-29,PREMIUM
C0089,Cliente_89,cliente89@email.com,2023-03-30,JUNIOR
C0090,Cliente_90,cliente90@email.com,2023-03-31,PREMIUM
C0091,Cliente_91,cliente91@email.com,2023-04-01,PREMIUM
C0092,Cliente_92,cliente92@email.com,2023-04-02,PREMIUM
